"","ngrams","nappear"
"1","bon accueil",2203
"2","rapid efficac",1126
"3","bon conseil",826
"4","tres rapid",761
"5","bien reçu",706
"6","tres satisf",626
"7","répons rapid",569
"8","tres satisfait",535
"9","tre bon",526
"10","bon contact",484
"11","bien conseil",445
"12","tres agréabl",443
"13","tres professionnel",431
"14","bien renseign",403
"15","bon servic",380
"16","trait rapid",373
"17","servic rapid",361
"18","satisf servic",358
"19","efficac rapid",351
"20","accueil bon",343
"21","accueil tres",340
"22","conseiller tres",340
"23","bien accueil",339
"24","tre bien",336
"25","rapid trait",331
"26","bien pass",327
"27","accueil téléphon",321
"28","tres compétent",319
"29","expliqu clair",306
"30","person tres",302
"31","satisfait servic",302
"32","bon pris",291
"33","toujour bien",291
"34","bon réactiv",283
"35","bon écout",281
"36","charg rapid",268
"37","rapid répons",266
"38","aucun problem",255
"39","accueil agenc",252
"40","servic groupam",252
"41","tres efficac",242
"42","conseil tres",225
"43","bon expliqu",219
"44","accueil conseil",215
"45","tout s",211
"46","trait demand",210
"47","qualit servic",207
"48","tres sympath",202
"49","tres écout",200
"50","toujour tres",190
"51","bon acceuil",184
"52","demand trait",184
"53","rembours rapid",184
"54","tres réactif",184
"55","tre satisf",182
"56","rien redir",180
"57","toujour écout",175
"58","écout client",174
"59","rapid pris",167
"60","tout fait",166
"61","tres aimabl",166
"62","tres clair",166
"63","tres content",166
"64","excellent accueil",161
"65","qualit prix",161
"66","rapid demand",159
"67","trait sinistr",159
"68","satisfait groupam",156
"69","groupam tres",154
"70","tout question",152
"71","répons clair",151
"72","bon suiv",150
"73","qualit accueil",150
"74","bon rapport",149
"75","accueil agréabl",148
"76","contact téléphon",148
"77","accueil expliqu",147
"78","rapid rembours",146
"79","satisf groupam",146
"80","aucun souc",144
"81","personnel tres",144
"82","rapport qualit",144
"83","accueil rapid",140
"84","conseiller écout",140
