"","ngrams","nappear"
"1","bon accueil bon conseil",97
"2","tres bon accueil tres",78
"3","tres bon accueil bon",77
"4","tres bon accueil téléphon",74
"5","bon accueil tres bon",62
"6","tres bon accueil agenc",60
"7","bon rapport qualit prix",56
"8","tres bon pris charg",48
"9","bon accueil expliqu clair",46
"10","tres bon accueil expliqu",44
"11","pris charg rapid efficac",37
"12","pris charg tres rapid",35
"13","bon accueil bon expliqu",33
"14","tres bien reçu agenc",33
"15","bon accueil bon renseign",31
"16","tres bon accueil répons",31
"17","bon accueil bon écout",29
"18","peut toujour fair mieux",28
"19","tres bon accueil conseil",28
"20","tres bien reçu conseil",26
"21","bien reçu bien conseil",25
"22","tres bon accueil conseiller",25
"23","tres bon accueil efficac",25
"24","accueil tres bon conseil",24
"25","demand trait tres rapid",24
"26","toujour tres bien reçu",24
"27","tres bon contact conseiller",24
"28","bon accueil répons rapid",23
"29","tres bon accueil écout",22
"30","tres bon contact téléphon",22
"31","bon pris charg sinistr",21
"32","tres satisfait servic groupam",21
"33","bien accueil bien conseil",20
"34","tres bon suiv dossi",20
"35","bien accueil bien renseign",19
"36","demand pris compt rapid",19
"37","tres bien reçu tres",19
"38","tres bon accueil renseign",19
"39","bon pris charg dossi",18
"40","dossi trait tres rapid",18
"41","peut toujour mieux fair",18
"42","bon pris charg demand",17
"43","toujour bien reçu agenc",17
"44","tre bon accueil bon",17
"45","tres bon accueil person",17
"46","tres bon accueil rapid",17
"47","tres bon contact conseil",17
"48","bon écout bon conseil",16
"49","mis not car tres",16
"50","toujour tres bien accueil",16
"51","tres bon accueil tarif",16
"52","bien reçu bien renseign",15
"53","tre bon pris charg",15
"54","tres bon accueil prix",15
"55","bien reçu tres bien",14
"56","tres bon contact agenc",14
"57","tres satisf servic groupam",14
"58","bon accueil bien renseign",13
"59","bon accueil bon servic",13
"60","bon pris charg rapid",13
"61","parc tres bien reçu",13
"62","person tres agréabl téléphon",13
"63","tres bien reçu téléphon",13
"64","accueil tres bien renseign",12
"65","bon accueil bien conseil",12
"66","bon accueil bon inform",12
"67","bon conseil bon accueil",12
"68","bon pris compt demand",12
"69","demand trait rapid efficac",12
"70","parc tout bien pass",12
"71","pris charg rapid demand",12
"72","tres bien conseil tres",12
"73","tres bien reçu bien",12
"74","tres bon accueil personnel",12
"75","tres satisf pris charg",12
"76","tres satisfait pris charg",12
"77","bien pris compt demand",11
"78","bon accueil répons question",11
"79","bon accueil servic rapid",11
"80","groupam depuis plusieur anné",11
"81","person occup dossi tres",11
"82","pris compt tres rapid",11
"83","rapid pris compt demand",11
"84","rapid tres bon accueil",11
"85","toujour bien accueil bien",11
"86","tout tre bien pass",11
"87","tres bien accueil tres",11
"88","tres bien reçu conseiller",11
"89","tres bien reçu expliqu",11
"90","tres bien reçu renseign",11
"91","tres bon accueil compétent",11
