"","findMostFreqTerms.tf..n...100."
"tres bon accueil tres bon",54
"tres bon accueil bon conseil",25
"bon accueil tres bon conseil",21
"tres bon accueil expliqu clair",21
"tres bien reçu tres bien",13
"tres bon accueil bon expliqu",11
"tres bon accueil répons rapid",11
"bon accueil expliqu tres clair",9
"mis not car tres bien",9
"tres bien accueil tres bien",9
"chez groupam depuis plus an",8
"tres bon accueil bon écout",8
"tres bon accueil renseign clair",8
"tres bon accueil tres bien",8
"bien accueil tres bien renseign",7
"bien reçu tres bien conseil",7
"demand pris compt tres rapid",7
"tres bon accueil téléphon rapid",7
"tres bon accueil tres professionnel",7
"tres bon rapport qualit prix",7
"bon accueil tres bon écout",6
"bon accueil tres bon expliqu",6
"depuis plus an chez groupam",6
"depuis plus an jam problem",6
"pris charg sinistr tres rapid",6
"toujour bien accueil bien conseil",6
"tres bien accueil bien renseign",6
"tres bien reçu expliqu clair",6
"tres bon accueil bon renseign",6
"tres bon accueil expliqu tres",6
"assur chez groupam depuis plus",5
"bien reçu tres bien renseign",5
"bon accueil bon conseil bon",5
"bon accueil expliqu clair précis",5
"bon accueil pris charg rapid",5
"bon accueil pris compt demand",5
"bon accueil renseign clair prec",5
"bon accueil tres bon renseign",5
"bon accueil tres bon servic",5
"bon conseil tres bon accueil",5
"chez groupam depuis plusieur anné",5
"client groupam depuis nombreux anné",5
"depuis nombreux anné chez groupam",5
"person occup dossi tres compétent",5
"person téléphon tres agréabl tres",5
"tre bon accueil tre bon",5
"tres bon accueil téléphon efficac",5
"tres bon contact tres bon",5
"bon accueil agenc tres bon",4
"bon accueil bon écout bon",4
"bon accueil bon pris charg",4
"bon accueil demand trait rapid",4
"bon accueil répons tout question",4
"bon accueil tre bon conseil",4
"bon accueil tres bien renseign",4
"bon accueil tres bon réactiv",4
"bon pris charg rapid efficac",4
"cel fait an assur chez",4
"client groupam depuis plus an",4
"conseiller bien pris compt demand",4
"contact groupam fair point situat",4
"groupam depuis tres nombreux anné",4
"mis not car tres satisf",4
"not car tres bien reçu",4
"pris charg rapid efficac sinistr",4
"sinistr pris charg tres rapid",4
"toujour bien reçu bien renseign",4
"toujour tres bien reçu agenc",4
"toujour tres bien reçu renseign",4
"tous contrat assur chez groupam",4
"tre bon accueil bon conseil",4
"tre bon accueil tres bon",4
"tres agréabl expliqu tres clair",4
"tres bien accueil téléphon tres",4
"tres bien reçu bien conseil",4
"tres bien reçu personnel agenc",4
"tres bien renseign tres bien",4
"tres bon accueil bien conseil",4
"tres bon accueil bon pris",4
"tres bon accueil conseiller tres",4
"tres bon accueil écout client",4
"tres bon accueil person compétent",4
"tres bon accueil person tres",4
"tres bon accueil pris compt",4
"tres bon accueil rapid trait",4
"tres bon accueil téléphon bon",4
"tres bon accueil téléphon conseil",4
"tres bon accueil téléphon tres",4
"tres bon conseil part conseiller",4
"tres bon pris charg demand",4
"tres bon servic tres bon",4
"tres bon suiv dossi tres",4
"tres professionnel tres bon accueil",4
"accueil agenc tres bon conseil",3
"accueil bon répons question pos",3
"accueil tres agréabl tres professionnel",3
"assur groupam depuis plus an",3
"bien conseil pris charg rapid",3
"bien reçu tres bon expliqu",3
"bon accueil agenc bon conseil",3
