"","findMostFreqTerms.tf..n...100."
"client depuis plus an",12
"tous contrat chez groupam",11
"groupam depuis plus an",9
"chez depuis plus an",8
"tout assur chez groupam",8
"bonjour mis not car",7
"groupam depuis nombreux anné",7
"ni plus ni moin",7
"plus an assur chez",7
"quelqu jour plus tard",7
"assur depuis plus an",6
"client chez groupam depuis",6
"client depuis nombreux anné",6
"suit sinistr non respons",6
"toujour reçu cart vert",6
"trop cher rapport concurrent",6
"cel fait plus mois",5
"chez groupam depuis plus",5
"client groupam depuis an",5
"contact fair point situat",5
"depuis plus an chez",5
"jour toujour rien reçu",5
"rembours beaucoup trop long",5
"résili tous contrat chez",5
"agenc trop souvent ferm",4
"an assur chez groupam",4
"assur auto chez groupam",4
"assur chez groupam depuis",4
"attend toujour répons question",4
"aucun gest commercial fait",4
"cel fait plus an",4
"chez depuis nombreux anné",4
"chez groupam depuis an",4
"client chez depuis an",4
"contrat assur chez groupam",4
"contrat garant accident vi",4
"del beaucoup trop long",4
"depuis an chez groupam",4
"fait tres bien travail",4
"jour apres toujour rien",4
"jour plus tard toujour",4
"plus an chez groupam",4
"plus tard toujour rien",4
"résili tous contrat groupam",4
"suit accident non respons",4
"tout mond renvoi ball",4
"tout tres bien pass",4
"accident voitur non respons",3
"aller chez opticien partenair",3
"aller chez partenair groupam",3
"alor client depuis plus",3
"anti reflet aminc verr",3
"appel plusieur fois avoir",3
"apres avoir vain tent",3
"apres plus an fidel",3
"assur auto trop cher",3
"assur toujour trop cher",3
"aucun coordin entre servic",3
"beaucoup trop cher assur",3
"ça chang tout temp",3
"capabl fair gest commercial",3
"cel fais plus an",3
"cel fait plus semain",3
"chang par bris tres",3
"chaqu anné tarif augmentent",3
"chez depuis an aucun",3
"chez depuis plusieur anné",3
"client chez depuis plus",3
"client depuis an aucun",3
"client depuis plusieur anné",3
"client groupam depuis nombreux",3
"compt tenu nombr contrat",3
"conseil lor signatur contrat",3
"del obten relev inform",3
"del rembours trop long",3
"demand gest commercial refus",3
"demand vi sit internet",3
"depuis plus an aucun",3
"depuis plus an toujour",3
"depuis plus deux an",3
"depuis plus trent an",3
"depuis quelqu temp groupam",3
"depuis tres nombreux anné",3
"don silvano mor bihan",3
"envi aller voir ailleur",3
"euros plus cher concurrent",3
"fait plus part partenair",3
"fidel client depuis an",3
"goélet don silvano mor",3
"groupam devr être plus",3
"groupam fait appel expert",3
"malgr nombreux anné cotis",3
"mis dev fait accompl",3
"moin cher mêm garant",3
"oblig aller chez partenair",3
"plus an fidel groupam",3
"plusieur contrat chez groupam",3
"pris charg plus import",3
"problem tout va bien",3
"rappel plusieur fois servic",3
