"","ngrams","nappear"
"1","tres bon accueil",961
"2","bon accueil bon",300
"3","pris charg rapid",265
"4","bon pris charg",240
"5","tres bon contact",213
"6","tres bon conseil",189
"7","tre bon accueil",152
"8","tout bien pass",139
"9","tres bien accueil",136
"10","bon accueil téléphon",134
"11","tres bien conseil",129
"12","tres bien renseign",129
"13","tres bon servic",126
"14","rapid pris charg",124
"15","bon accueil agenc",120
"16","accueil bon conseil",108
"17","rapid trait dossi",104
"18","pris compt demand",100
"19","bon accueil tres",96
"20","bon accueil expliqu",92
"21","tres bon réactiv",90
"22","tres bien pass",89
"23","toujour bien reçu",87
"24","tout tres bien",85
"25","accueil tres bon",84
"26","demand trait rapid",83
"27","servic rapid efficac",83
"28","tres satisf servic",80
"29","bon accueil répons",78
"30","bien reçu agenc",74
"31","trait tres rapid",73
"32","dossi trait rapid",69
"33","satisfait servic groupam",69
"34","tres bon écout",69
"35","person tres agréabl",68
"36","rapid trait demand",68
"37","pris compt rapid",67
"38","satisf servic groupam",67
"39","toujour tres bien",65
"40","bon rapport qualit",64
"41","bien reçu bien",62
"42","répons rapid efficac",61
"43","accueil tres agréabl",60
"44","pris charg dossi",60
"45","répons tres rapid",59
"46","accueil expliqu clair",56
"47","toujour bien accueil",56
"48","bon suiv dossi",55
"49","tres satisfait servic",55
"50","bon accueil conseil",54
"51","pris charg tres",53
"52","tres bon pris",53
"53","tre bon acceuil",50
"54","bien accueil bien",48
"55","bon accueil rapid",48
"56","rembours tres rapid",48
"57","tres professionnel tres",48
"58","écout bon conseil",47
"59","expliqu tres clair",47
"60","bon accueil efficac",46
"61","pris charg demand",46
"62","tres satisfait groupam",46
"63","person tres compétent",45
"64","bon conseil bon",43
"65","bon contact conseiller",43
"66","tre bon conseil",43
"67","bien reçu conseil",42
"68","conseiller tres professionnel",42
"69","tres bon expliqu",42
"70","bon accueil conseiller",41
"71","person occup dossi",41
"72","tres bon suiv",41
"73","accueil bon expliqu",40
"74","trait rapid efficac",40
"75","tres bon conseiller",40
"76","bon accueil écout",39
"77","pris charg immédiat",39
"78","satisfait pris charg",39
"79","toujour fair mieux",39
"80","tre bon contact",39
"81","bon contact conseil",38
"82","bon écout bon",38
"83","bon pris compt",38
"84","répons rapid demand",38
"85","tre bien recu",38
"86","tre bien reçu",38
"87","bien pris charg",37
"88","charg rapid efficac",37
